time mi_pulso
8.800000000000e-09 -8.996657327528e-04
8.815384615385e-09 -5.756311694496e-04
8.830769230769e-09 -8.618897417642e-05
8.846153846154e-09 4.030194353934e-04
8.861538461538e-09 7.357710474514e-04
8.876923076923e-09 8.148198962250e-04
8.892307692308e-09 6.297004669137e-04
8.907692307692e-09 2.550593039628e-04
8.923076923077e-09 -1.782576758831e-04
8.938461538462e-09 -5.284738637080e-04
8.953846153846e-09 -6.889734892253e-04
8.969230769231e-09 -6.203291244368e-04
8.984615384615e-09 -3.588003334902e-04
9.000000000000e-09 3.227354114207e-17
9.015384615385e-09 3.354820261115e-04
9.030769230769e-09 5.423033154129e-04
9.046153846154e-09 5.631197121875e-04
9.061538461538e-09 4.037954934589e-04
9.076923076923e-09 1.273135313733e-04
9.092307692308e-09 -1.702516722149e-04
9.107692307692e-09 -3.927627962288e-04
9.123076923077e-09 -4.748022406678e-04
9.138461538462e-09 -4.004456111412e-04
9.153846153846e-09 -2.048129165546e-04
9.169230769231e-09 4.088649763453e-05
9.184615384615e-09 2.548125537591e-04
9.200000000000e-09 3.714857567345e-04
9.215384615385e-09 3.614953014194e-04
9.230769230769e-09 2.381144019607e-04
9.246153846154e-09 4.968651853876e-05
9.261538461538e-09 -1.386590331115e-04
9.276923076923e-09 -2.672206991271e-04
9.292307692308e-09 -3.003809472854e-04
9.307692307692e-09 -2.359689165984e-04
9.323076923077e-09 -1.030737342402e-04
9.338461538462e-09 5.001140208279e-05
9.353846153846e-09 1.729686293879e-04
9.369230769231e-09 2.297516160582e-04
9.384615384615e-09 2.088007519095e-04
9.400000000000e-09 1.244192138665e-04
9.415384615385e-09 9.680979386783e-06
9.430769230769e-09 -9.602963895799e-05
9.446153846154e-09 -1.602840112481e-04
9.461538461538e-09 -1.672895119513e-04
9.476923076923e-09 -1.211937233445e-04
9.492307692308e-09 -4.258905736933e-05
9.507692307692e-09 3.993056997016e-05
9.523076923077e-09 9.987386640363e-05
9.538461538462e-09 1.211300774172e-04
